IP_ES_25_N1,Z3_IB_4_N1,Z1_IB_10_N1,Z1_IB_5_N1,Z3_IB_8_N1,ECI_IB_4_N1,ECI_IB_5_N1,Gs(U)_IB_12_N1,Gs(U)_IB_68_N1,Gs(U)_IB_58_N1,Gs(U)_IB_60_N1,Z1_NO_sideL35_M,HP_NO_sideL35_CV,Z1_NO_sideR35_CV,Pb_NO_sideR35_S,IP_NO_sideL35_SI71,Z1_NO_PRT_CV,Z2_NO_AHR_CV,Gs(U)_NO_ALR_SI71,Z3_NO_UCR_S,Z3_NO_UCR_N1,ECI_NO_UCR_CV,Pa_NO_BSR_SI71,ISA_NO_NPR_S,Z3_NO_NPR_V,IP_NO_PLR_S,Pb_NO_PCR_V,ECI_NO_PCR_CV,class
5.47,16.06,9.7,8.31,14.36,55.6,39.93,0.05,0.04,0.03,0.06,1.63,-2.65,2.98,0.73,0.46,3.49,8.59,0.39,-1.05,-1.12,0.37,0.66,-1.31,0.25,0.5,0.01,0.61,N
4.75,11.9,9.42,7.36,15.17,26.21,47.92,0.06,0.05,0.07,0.07,2.15,-5.3,12.21,0.46,0.66,23.72,2.55,0.55,-0.79,-1.73,0.4,0.51,-1.76,1.39,0.51,0.02,0.61,N
6.13,10.35,6.45,10.61,11.28,43.59,32.79,0.05,0.06,0.05,0.04,1.33,11.86,5.93,1.48,0.53,-16.43,-4.67,0.44,2.6,8.81,0.48,0.58,-1.05,1.37,0.24,0.01,0.63,N
6.9,21.62,6.59,7.78,48.36,28.57,32.24,0.05,0.06,0.04,0.07,1.92,-15.87,-3.96,0.35,0.57,-6.27,-2.81,0.56,1.44,12.58,0.48,0.53,-0.93,1.05,0.63,0.01,0.48,N
6.7,24.02,5.61,7.73,35.89,58.29,43.08,0.06,0.12,0.03,0.05,0.53,52.14,22.69,0.91,0.53,52.67,-2.51,0.55,1.69,-1.67,0.43,0.52,-0.48,1.33,0.76,0.01,0.42,N
4.53,15.3,11.83,10.72,14.56,34.57,28.92,0.05,0.06,0.03,0.04,20.12,-6.51,12.07,0.47,0.57,-160.05,14.0,0.54,1.14,6.49,0.43,0.5,-1.25,1.18,0.27,0.02,0.57,N
5.89,16.58,10.28,7.29,29.38,267.65,388.89,0.04,0.04,0.04,0.03,0.47,3.3,-19.7,0.8,0.5,-6.54,-3.09,0.45,-0.65,-3.43,0.42,0.49,-0.73,0.82,0.6,0.0,0.0,N
4.67,16.39,7.47,7.03,14.94,20.82,23.32,0.05,0.05,0.04,0.04,1.92,-3.95,3.42,1.02,0.57,5.48,7.37,0.58,1.34,1.85,0.51,0.56,-1.13,1.73,0.52,0.01,0.52,N
5.6,28.23,7.16,7.85,18.69,32.01,26.96,0.04,0.04,0.08,0.06,0.79,-12.62,5.52,0.9,0.57,16.15,-96.46,0.48,-1.14,2.08,0.37,0.5,-0.91,1.57,0.45,0.02,0.63,N
6.08,27.29,11.31,12.81,12.1,29.98,42.57,0.06,0.09,0.07,0.04,1.4,8.99,-8.2,0.64,0.52,-10.64,-2.87,0.48,0.95,15.5,0.55,0.51,-0.74,0.53,0.65,0.03,0.03,N
-1.35,19.03,8.92,8.42,21.8,158.9,66.46,0.06,0.05,0.04,0.06,5.31,-7.26,-5.09,0.47,0.47,-9.41,-6.57,0.43,1.17,0.07,0.36,0.44,-2.22,0.88,0.8,0.01,0.65,N
5.7,24.29,10.44,6.84,25.71,40.26,59.39,0.03,0.05,0.11,0.07,0.89,-3.55,9.57,0.8,0.57,7.64,-2.92,0.43,1.24,9.83,0.51,0.48,-0.63,1.07,1.01,0.01,0.41,N
5.1,13.38,10.26,8.64,36.39,23.94,36.74,0.05,0.05,0.05,0.07,4.53,-4.04,-10.8,0.59,0.61,21.38,31.85,0.54,1.24,7.59,0.49,0.47,-0.57,1.38,0.58,0.02,0.61,N
3.63,33.98,9.52,10.27,27.1,45.61,70.73,0.04,0.05,0.11,0.08,0.34,-12.41,-18.33,0.95,0.55,78.24,-3.75,0.48,1.86,5.93,0.47,0.63,-0.18,0.87,0.06,0.02,0.63,N
9.42,57.44,9.06,6.47,19.5,54.72,59.54,0.04,0.07,0.05,0.06,2.04,57.92,20.33,0.48,0.51,-553.49,10.47,0.52,-0.05,-6.13,0.34,0.51,-0.98,1.05,0.39,0.02,0.57,N
14.97,48.75,8.98,10.85,15.18,22.69,27.93,0.05,0.06,0.04,0.05,4.23,-3.42,2.53,1.1,0.55,3.53,4.09,0.48,1.28,10.23,0.45,0.57,-1.17,0.81,0.7,0.0,0.57,N
4.86,40.83,9.43,9.43,24.25,88.53,109.2,0.06,0.05,0.05,0.09,0.72,-10.82,-10.84,0.56,0.53,-62.7,-5.16,0.48,1.26,10.43,0.49,0.55,-0.69,1.25,0.65,0.02,0.62,N
-3.23,13.06,10.62,8.53,25.67,32.08,53.77,0.04,0.04,0.07,0.07,1.47,-3.06,12.25,0.81,0.63,6.62,-16.92,0.58,0.94,5.98,0.57,0.53,-0.76,1.13,0.18,0.01,0.48,N
4.76,25.87,16.2,9.27,39.0,43.6,25.86,0.13,0.05,0.04,0.04,1.37,81.3,15.02,0.55,0.53,13.77,-10.78,0.54,1.11,11.25,0.5,0.49,-0.99,1.42,0.81,0.01,0.65,N
6.14,32.48,7.37,8.88,8.24,46.09,37.46,0.13,0.04,0.07,0.06,0.95,-9.69,4.36,1.46,0.54,5.18,-9.61,0.54,0.62,15.29,0.63,0.55,-0.76,1.22,0.16,0.01,0.59,N
6.45,24.79,6.49,6.47,32.67,58.3,55.53,0.04,0.03,0.05,0.15,0.74,-13.59,4.47,0.37,0.5,8.68,97.98,0.52,-0.65,-2.09,0.35,0.48,-0.73,0.73,0.72,0.01,0.51,N
5.54,30.0,8.1,13.12,20.24,47.95,55.64,0.05,0.03,0.06,0.05,1.96,-9.37,6.24,0.92,0.5,14.53,-255.56,0.54,1.43,7.75,0.44,0.51,-1.54,1.23,0.77,0.02,0.59,N
6.09,36.33,5.9,9.98,17.68,48.96,45.96,0.03,0.09,0.09,0.06,0.72,-7.26,2.61,0.76,0.61,5.7,175.96,0.52,0.17,-10.83,0.37,0.39,-0.73,1.83,0.73,0.01,0.62,N
5.97,259.26,333.33,333.33,259.26,466.67,466.67,0.13,0.04,0.04,0.05,0.08,0.59,-4.02,0.4,0.13,-5.1,-0.92,0.32,-1.22,-0.01,0.34,0.58,0.81,0.41,0.67,0.01,0.68,N
5.28,22.37,11.58,7.07,23.17,76.23,43.88,0.05,0.05,0.05,0.04,1.6,-7.17,-7.01,0.46,0.56,-79.45,9.08,0.49,-1.39,4.51,0.39,0.52,-1.39,0.66,0.64,0.02,0.54,N
0.42,22.83,6.69,9.98,16.94,35.09,45.33,0.04,0.04,0.05,0.06,8.17,-12.0,-3.86,0.6,0.61,-7.56,-10.09,0.43,1.3,8.58,0.53,0.51,-1.77,0.39,0.62,0.02,0.62,N
5.81,29.58,7.64,6.94,35.15,37.84,31.26,0.09,0.05,0.08,0.06,1.01,-3.58,16.51,0.53,0.65,12.61,11.14,0.58,1.15,8.19,0.49,0.59,-0.86,1.42,0.62,0.02,0.63,N
4.47,18.05,6.91,5.93,8.92,319.26,318.06,0.04,0.05,0.04,0.03,-16.09,11.17,-8.73,0.47,0.55,-5.34,-5.0,0.41,2.08,13.09,0.48,0.39,-1.73,1.02,0.7,0.02,0.55,N
5.33,19.48,7.64,7.61,14.84,74.7,61.95,0.04,0.03,0.05,0.04,1.66,-3.9,3.04,1.11,0.49,3.45,3.42,0.54,-0.88,0.21,0.37,0.58,-0.61,0.71,0.47,0.02,0.63,N
5.82,259.26,213.76,333.33,259.26,466.67,466.67,0.06,0.08,0.05,0.08,0.19,2.03,2.23,0.52,0.28,9.36,-3.8,0.47,1.4,-2.44,0.43,0.5,0.11,0.7,0.67,0.02,0.55,N
5.3,15.34,6.3,8.49,10.09,19.77,23.04,0.05,0.05,0.06,0.05,58.1,14.54,-16.71,0.3,0.48,-7.62,-38.08,0.51,1.07,4.73,0.44,0.49,-1.06,1.39,0.89,0.02,0.64,N
6.65,27.37,12.41,8.94,14.95,68.14,29.65,0.06,0.04,0.04,0.06,0.79,22.66,19.13,0.87,0.5,-19.51,-3.59,0.54,1.45,14.83,0.6,0.47,-0.61,1.37,0.82,0.01,0.51,N
5.62,9.57,9.45,8.44,14.27,31.43,26.61,0.05,0.05,0.04,0.04,0.71,-4.26,9.46,0.65,0.57,7.34,4.66,0.52,-0.51,-2.67,0.4,0.53,-0.46,1.13,-0.02,0.02,0.62,N
3.44,23.86,13.18,8.0,125.36,25.67,31.21,0.08,0.04,0.05,0.04,0.45,-10.96,76.91,0.81,0.55,20.07,-1.95,0.46,1.32,4.92,0.42,0.52,-0.37,0.37,0.69,0.01,0.52,N
5.54,15.88,9.75,12.05,32.21,75.06,73.1,0.07,0.24,0.06,0.05,1.5,-3.06,3.74,0.99,0.6,4.14,4.77,0.55,1.2,-0.06,0.42,0.5,-0.24,1.21,0.37,0.02,0.52,N
5.67,19.67,9.63,8.9,17.44,35.9,67.71,0.04,0.07,0.03,0.03,1.12,-69.67,-12.42,0.41,0.57,-24.89,42.85,0.48,0.07,-7.49,0.33,0.45,-0.92,1.83,0.83,0.02,0.65,N
4.02,26.09,9.57,6.94,40.33,43.88,44.46,0.06,0.04,0.07,0.07,0.76,-5.07,7.77,0.86,0.6,11.61,19.85,0.54,-0.87,-0.86,0.41,0.55,-0.89,1.37,0.2,0.02,0.56,N
3.87,9.41,9.09,9.33,19.51,38.02,42.45,0.08,0.1,0.03,0.05,0.97,14.01,-5.2,0.14,0.57,-10.37,-6.31,0.52,1.15,7.93,0.49,0.49,-1.05,1.08,0.62,0.01,0.64,N
-0.41,16.36,7.97,7.8,21.87,35.22,32.11,0.04,0.05,0.04,0.03,7.09,-3.31,12.63,1.06,0.57,7.35,36.5,0.43,-0.9,0.74,0.28,0.66,-1.52,0.54,0.19,0.02,0.62,N
6.27,29.18,8.82,7.37,18.12,30.94,33.94,0.05,0.03,0.05,0.08,5.93,-6.54,9.69,1.02,0.6,9.6,517.77,0.57,1.68,3.88,0.44,0.57,-0.88,0.92,0.77,0.01,0.62,N
5.01,26.06,8.27,6.75,13.71,243.78,113.94,0.06,0.04,0.18,0.11,0.97,95.97,5.22,1.04,0.58,12.74,20.39,0.52,0.98,9.95,0.5,0.53,-0.65,1.18,0.52,0.02,0.02,N
4.08,27.92,9.58,7.72,13.87,43.84,36.94,0.04,0.04,0.05,0.05,1.88,-9.13,-12.51,0.65,0.56,-49.65,6.73,0.5,1.24,5.25,0.47,0.49,-0.78,0.85,0.16,0.01,0.53,N
-0.83,23.17,10.58,6.2,13.25,45.2,82.23,0.07,0.03,0.06,0.07,1.02,-4.24,3.1,1.45,0.52,4.13,7.7,0.49,-0.86,-0.54,0.3,0.41,-0.84,0.88,0.36,0.02,0.6,N
16.58,18.47,11.3,6.65,25.7,60.91,65.78,0.05,0.07,0.07,0.04,0.57,8.91,-39.92,0.5,0.49,-17.05,-2.49,0.48,1.22,0.37,0.44,0.52,-0.78,1.03,0.64,0.02,0.58,N
6.64,19.11,10.33,10.88,13.71,30.93,28.89,0.09,0.05,0.03,0.03,0.68,-4.71,-3.58,0.2,0.57,-41.62,-7.96,0.52,1.25,4.8,0.51,0.48,-1.01,0.78,0.39,0.02,0.63,N
-1.63,9.03,22.13,10.92,20.23,38.01,57.68,0.13,0.36,0.05,0.04,0.33,-3.97,1.11,-0.29,0.5,1.57,-2.27,0.37,1.57,3.03,0.48,0.75,0.52,0.8,-0.17,0.01,0.54,N
12.38,12.57,7.08,11.17,9.38,41.81,21.22,0.04,0.06,0.05,0.04,0.55,-1.96,4.61,1.64,0.51,3.06,4.28,0.54,-0.46,3.83,0.42,0.72,-0.23,0.64,-0.39,0.01,0.62,N
5.33,259.26,213.76,333.33,259.26,466.67,466.67,0.07,0.03,0.05,0.05,0.18,-7.75,-67.79,0.81,0.44,8.05,-1.52,0.45,3.07,10.81,0.5,0.59,0.08,1.04,0.91,0.01,0.52,N
3.77,53.64,11.42,11.59,13.7,378.91,318.69,0.04,0.1,0.03,0.04,1.79,-4.6,9.16,0.62,0.61,9.92,4.63,0.49,1.76,5.88,0.44,0.55,-0.63,1.28,0.51,0.02,0.58,N
5.44,16.82,11.37,12.32,27.46,53.41,33.83,0.09,0.05,0.05,0.04,2.91,-3.68,1.57,0.28,0.44,1.92,7.58,0.51,1.63,17.23,0.44,0.56,-0.28,1.21,0.64,0.02,0.55,N
-0.71,19.15,14.92,10.19,9.95,18.79,17.27,0.05,0.05,0.08,0.09,1.28,-1.13,2.98,1.36,0.58,1.68,-39.09,0.46,1.28,0.65,0.47,0.3,0.25,0.59,0.95,0.02,0.57,N
0.07,16.55,9.01,11.99,7.88,28.85,22.3,0.04,0.04,0.05,0.03,7.73,-2.79,-3.82,0.09,0.64,-16.65,20.95,0.49,1.45,4.25,0.43,0.54,-1.75,1.46,0.35,0.01,0.52,N
3.84,8.41,10.85,10.06,17.38,17.45,18.34,0.04,0.07,0.08,0.06,1.24,-2.88,2.56,0.78,0.59,2.49,4.69,0.56,1.2,6.98,0.48,0.39,-1.27,2.23,0.41,0.01,0.58,N
-1.29,20.83,10.81,9.51,11.74,47.98,59.59,0.07,0.03,0.11,0.08,4.59,-17.57,17.63,0.71,0.62,13.31,7.89,0.54,1.28,7.84,0.5,0.51,-1.02,1.16,0.37,0.02,0.62,N
6.35,42.75,15.13,10.27,60.87,391.89,244.39,0.09,0.03,0.05,0.07,1.47,35.15,8.27,0.98,0.33,5.45,-2.4,0.43,1.45,8.13,0.42,0.61,0.09,0.45,0.96,0.01,0.57,N
13.08,11.7,9.69,7.47,11.04,25.63,28.46,0.09,0.05,0.12,0.13,0.41,-10.62,4.07,0.34,0.52,9.32,-2.02,0.39,-1.06,1.14,0.41,0.61,0.22,1.26,0.27,0.01,0.64,N
3.87,9.03,11.41,7.86,21.14,17.3,21.28,0.07,0.04,0.04,0.03,0.7,-8.43,-14.8,0.35,0.5,46.09,-6.13,0.51,0.78,16.03,0.57,0.47,-1.02,1.15,0.72,0.02,0.62,N
4.86,13.73,7.38,8.05,25.24,30.62,33.36,0.04,0.03,0.07,0.07,1.02,35.02,-5.23,0.88,0.6,-6.48,-2.11,0.44,1.07,12.32,0.53,0.57,-0.78,1.32,0.82,0.02,0.62,N
6.76,14.68,11.3,15.11,9.59,46.14,50.33,0.06,0.05,0.04,0.04,3.55,-5.24,6.15,0.75,0.59,5.4,3.22,0.46,1.14,4.97,0.44,0.53,-0.11,0.43,0.23,0.02,0.62,N
4.33,16.56,7.73,6.75,18.8,51.94,116.13,0.04,0.07,0.06,0.05,1.89,16.24,-14.96,0.71,0.54,-12.76,-4.01,0.5,-0.51,-2.47,0.39,0.48,-0.85,0.8,0.73,0.02,0.59,N
5.16,26.0,8.47,11.72,10.22,33.29,30.84,0.07,0.06,0.04,0.09,0.65,-11.57,13.85,0.99,0.58,8.18,-3.68,0.46,1.05,7.47,0.56,0.54,-0.25,0.65,0.17,0.01,0.56,N
5.6,10.46,10.31,19.13,18.76,145.83,145.83,0.07,0.13,0.05,0.1,1.56,-2.7,8.04,1.04,0.52,14.7,-2.26,0.38,-0.9,-1.52,0.38,0.46,-0.83,1.98,0.86,0.02,0.57,N
13.48,20.64,5.59,8.17,14.48,17.32,20.15,0.05,0.03,0.18,0.1,0.94,-2.71,6.09,0.98,0.61,5.14,15.52,0.53,1.65,9.59,0.49,0.62,-0.61,0.94,0.28,0.01,0.52,N
4.17,15.31,8.25,8.76,29.88,48.44,70.74,0.05,0.04,0.09,0.09,3.06,-3.03,1.73,1.32,0.63,2.05,8.58,0.57,1.14,29.59,0.61,0.69,-1.22,1.14,0.48,0.02,0.53,N
-0.56,26.2,10.56,8.0,25.24,25.88,24.84,0.16,0.08,0.12,0.06,0.94,-4.56,91.91,0.77,0.56,11.3,7.29,0.56,-0.88,-1.6,0.37,0.58,-0.94,1.03,0.6,0.02,0.57,N
-0.81,26.21,9.12,11.33,11.13,89.87,71.73,0.04,0.05,0.05,0.09,4.25,-8.88,10.26,0.72,0.65,9.94,-7.28,0.55,0.56,22.85,0.64,0.59,-0.68,0.92,0.47,0.02,0.62,N
5.28,21.98,19.91,10.67,20.85,52.95,84.67,0.14,0.05,0.04,0.03,0.61,8.53,4.46,0.53,0.6,19.26,5.03,0.53,1.25,8.94,0.49,0.5,-0.65,1.16,0.28,0.02,0.57,N
10.53,27.04,7.75,7.04,20.75,57.34,83.08,0.05,0.06,0.07,0.06,1.76,-3.56,-49.94,0.61,0.54,10.67,7.95,0.51,1.53,6.6,0.48,0.56,-0.74,1.18,0.34,0.02,0.62,N
5.23,17.34,8.56,11.63,9.68,99.53,140.01,0.04,0.05,0.04,0.04,1.63,-4.36,-8.95,0.39,0.58,95.92,10.57,0.5,0.05,-7.73,0.38,0.44,-0.96,1.72,0.64,0.02,0.62,N
13.35,15.36,9.03,8.17,23.96,110.29,79.71,0.06,0.05,0.05,0.08,15.03,-5.11,-5.97,0.49,0.62,-11.88,10.46,0.51,-0.94,1.33,0.39,0.51,-1.19,1.41,0.63,0.02,0.61,N
6.3,18.72,9.31,10.29,73.83,105.31,95.57,0.04,0.05,0.05,0.07,0.75,-4.97,4.4,1.05,0.48,3.91,-7.6,0.5,2.75,7.84,0.53,0.22,-0.57,1.56,0.33,0.01,0.49,N
5.88,16.91,18.69,8.71,22.38,21.6,24.14,0.15,0.04,0.03,0.04,0.45,-3.36,1.41,0.38,0.39,1.96,-9.34,0.48,0.18,2.51,0.42,0.83,0.25,0.82,0.51,0.01,0.44,N
5.34,26.91,7.67,8.06,39.45,42.6,52.37,0.09,0.05,0.13,0.09,0.47,-18.01,4.74,0.97,0.47,8.31,-2.57,0.45,-0.91,-0.45,0.4,0.75,-0.19,1.29,0.67,0.01,0.51,N
5.81,30.91,8.86,7.7,11.71,116.56,110.75,0.05,0.1,0.05,0.04,0.78,60.81,14.67,0.63,0.51,77.95,-17.45,0.53,-1.02,1.39,0.4,0.49,-0.65,1.01,0.5,0.02,0.58,N
5.77,16.85,8.12,7.21,11.36,41.54,24.98,0.05,0.08,0.08,0.05,6.72,-3.71,-4.2,0.52,0.57,-27.3,-4.18,0.55,1.54,7.51,0.45,0.55,-0.82,1.51,0.58,0.02,0.58,N
-4.49,15.15,10.45,9.95,28.35,24.15,26.69,0.09,0.05,0.05,0.07,1.47,-0.82,3.02,1.41,0.42,1.71,2.05,0.57,2.86,9.75,0.49,0.83,-0.57,1.11,0.1,0.0,0.45,N
-0.52,16.66,7.98,7.57,26.42,71.33,44.42,0.04,0.06,0.05,0.03,1.59,-3.61,10.52,0.67,0.54,6.11,8.6,0.6,1.48,15.49,0.47,0.52,-0.67,0.77,0.63,0.02,0.61,N
6.19,35.25,6.74,14.51,14.46,347.29,153.19,0.04,0.05,0.04,0.04,0.39,16.89,3.52,1.1,0.56,6.56,-5.25,0.5,-0.25,-6.06,0.36,0.46,-0.38,0.56,0.53,0.03,0.03,N
4.91,22.83,22.26,8.75,32.49,78.27,37.83,0.09,0.04,0.06,0.04,0.95,-15.78,30.13,0.69,0.65,20.59,-2.96,0.55,0.81,20.35,0.61,0.56,-0.61,0.94,0.73,0.01,0.45,N
4.36,20.49,8.18,12.19,16.22,32.9,40.12,0.04,0.07,0.05,0.05,1.08,13.89,-55.06,0.93,0.61,-8.74,-3.07,0.47,0.76,-5.66,0.39,0.45,-0.9,1.27,0.4,0.01,0.54,N
5.07,24.41,14.79,9.73,9.55,33.94,34.97,0.06,0.06,0.05,0.04,3.61,-2.59,10.1,1.05,0.57,5.46,-5.62,0.61,0.7,35.2,0.64,0.53,-0.91,1.28,0.92,0.02,0.64,N
7.28,31.41,6.37,7.34,53.32,29.3,31.25,0.04,0.04,0.04,0.04,2.66,-23.57,4.98,1.19,0.61,59.48,6.91,0.57,-1.18,2.41,0.39,0.57,-1.23,1.18,0.77,0.02,0.62,N
5.36,13.33,6.68,8.71,25.54,221.93,178.07,0.04,0.08,0.08,0.1,0.85,-74.12,19.33,0.77,0.59,-37.75,-7.63,0.5,1.96,6.99,0.48,0.54,-0.96,1.86,0.56,0.02,0.62,N
6.03,29.79,5.73,7.48,13.63,62.92,36.06,0.04,0.11,0.05,0.06,1.18,-14.23,4.72,1.01,0.53,17.38,-5.35,0.52,-1.6,2.98,0.41,0.64,-0.95,0.99,0.52,0.02,0.57,N
6.21,16.66,17.24,11.66,24.39,43.97,42.02,0.07,0.08,0.13,0.13,0.52,-3.01,-64.38,1.01,0.44,6.01,-11.03,0.48,-0.13,-4.93,0.41,0.52,-0.33,1.52,0.94,0.02,0.62,N
6.92,17.96,11.39,7.21,32.95,25.18,26.15,0.06,0.09,0.04,0.05,5.71,-7.94,4.68,1.06,0.62,5.37,8.73,0.53,1.03,20.51,0.53,0.49,-0.31,1.84,0.76,0.02,0.6,N
4.77,12.76,15.56,7.51,15.11,22.32,33.97,0.11,0.06,0.05,0.07,0.96,-2.45,11.08,0.93,0.56,4.0,3.66,0.44,-0.45,-3.5,0.4,0.35,-1.46,2.44,0.56,0.02,0.64,N
5.49,17.3,9.23,6.56,20.32,71.33,201.29,0.04,0.06,0.05,0.04,1.15,10.06,-11.46,0.63,0.54,-7.69,-1.84,0.47,1.65,2.19,0.45,0.59,-0.88,1.46,0.51,0.01,0.41,N
6.59,30.52,9.21,6.99,20.41,26.34,42.86,0.06,0.03,0.07,0.05,0.92,-1.95,4.76,0.92,0.51,2.8,40.03,0.56,1.2,9.15,0.47,0.57,-0.91,1.32,0.71,0.02,0.62,N
5.86,11.64,8.64,9.43,35.96,46.61,30.0,0.05,0.04,0.04,0.03,0.81,79.62,4.83,0.77,0.51,12.87,5.99,0.46,-0.97,1.88,0.35,0.5,-1.17,0.37,0.34,0.02,0.58,N
6.22,26.92,7.56,7.43,72.51,83.78,83.05,0.06,0.04,0.1,0.07,1.12,-8.14,-7.33,-0.03,0.59,93.93,53.21,0.46,1.36,-2.97,0.41,0.44,-0.27,0.79,0.56,0.03,0.03,N
-1.35,17.2,10.51,9.44,33.09,32.45,33.48,0.06,0.05,0.14,0.05,1.02,-5.32,-34.42,0.5,0.55,13.56,-4.77,0.53,0.92,8.04,0.45,0.54,-0.81,1.39,0.74,0.02,0.6,N
5.76,11.26,8.64,7.77,21.09,52.12,36.65,0.07,0.03,0.07,0.08,0.71,-6.19,4.21,1.05,0.5,4.07,-19.28,0.55,-0.9,0.08,0.4,0.57,-0.45,0.73,0.68,0.02,0.55,N
3.78,17.66,7.23,5.85,23.68,21.05,25.28,0.05,0.05,0.08,0.06,2.12,-9.16,-8.06,0.66,0.67,-6.68,-3.86,0.54,1.23,6.21,0.44,0.53,-0.96,1.13,0.67,0.01,0.56,N
5.71,36.4,9.63,8.15,47.14,42.25,33.53,0.1,0.08,0.05,0.05,0.46,-12.29,6.04,1.18,0.55,7.5,-3.18,0.48,-0.64,-1.46,0.41,0.41,-0.29,1.04,0.69,0.03,0.03,N
4.62,11.95,7.64,11.97,14.29,28.67,24.21,0.04,0.04,0.09,0.06,3.04,-2.26,-34.65,0.83,0.55,7.1,8.34,0.58,-1.34,4.0,0.4,0.49,-1.09,1.4,0.6,0.02,0.62,N
6.1,31.08,13.28,9.02,18.06,89.68,146.17,0.06,0.08,0.06,0.04,9.46,13.38,6.03,0.65,0.61,108.81,-4.09,0.5,1.61,3.66,0.47,0.58,-1.06,1.26,0.59,0.02,0.6,N
-0.86,23.64,9.67,10.46,36.61,29.61,29.95,0.04,0.05,0.04,0.07,1.72,-4.91,1.64,1.47,0.55,2.75,3.19,0.48,1.51,2.93,0.38,0.48,-1.56,0.74,0.5,0.01,0.02,N
6.24,8.06,10.63,8.24,11.13,16.7,22.88,0.05,0.04,0.05,0.06,1.77,-4.51,13.2,0.89,0.58,7.65,-6.96,0.55,1.2,6.65,0.42,0.59,-1.26,1.92,0.67,0.01,0.42,N
5.76,19.36,7.71,16.36,31.07,62.6,64.5,0.06,0.04,0.07,0.07,0.95,-9.81,7.48,0.72,0.65,7.9,11.1,0.61,1.21,19.71,0.57,0.59,-0.8,1.29,0.7,0.02,0.64,N
6.42,27.32,22.47,7.86,25.15,69.77,133.38,0.09,0.07,0.04,0.03,0.74,-42.99,31.4,0.85,0.62,59.47,-3.62,0.48,1.48,6.85,0.51,0.62,-0.51,1.11,0.6,0.02,0.62,N
4.92,14.15,10.7,10.08,9.85,38.55,37.67,0.06,0.04,0.05,0.05,15.89,-5.07,-7.8,0.75,0.61,-18.77,-23.92,0.5,1.34,11.81,0.45,0.56,-1.43,1.87,0.75,0.02,0.62,N
6.09,45.73,10.45,8.3,16.87,628.86,430.74,0.03,0.04,0.03,0.06,0.46,79.3,-14.68,0.63,0.43,-148.45,-4.18,0.53,0.99,11.76,0.57,0.57,-0.5,0.95,0.59,0.02,0.63,N
-0.86,22.74,7.57,8.74,10.3,62.47,41.56,0.05,0.13,0.07,0.06,0.55,-1.8,1.75,1.37,0.55,2.03,-3.24,0.41,1.45,9.86,0.47,0.72,0.6,0.67,0.49,0.0,0.57,N
6.43,55.14,10.07,10.43,50.79,46.27,29.12,0.07,0.04,0.04,0.05,0.46,10.39,-17.09,0.35,0.53,-17.36,-4.17,0.53,-0.41,-3.98,0.38,0.49,-0.61,1.43,0.83,0.02,0.57,N
6.68,27.01,7.79,10.92,14.62,66.07,48.45,0.07,0.06,0.04,0.06,0.72,-9.74,3.3,1.35,0.57,5.16,50.43,0.52,1.19,10.94,0.51,0.46,-0.58,1.57,0.49,0.02,0.63,N
6.27,17.29,11.8,8.36,8.05,28.09,22.31,0.04,0.05,0.05,0.04,0.52,-1.74,13.97,0.87,0.65,4.51,-20.94,0.54,0.45,24.95,0.69,0.52,-0.61,1.58,0.52,0.02,0.63,N
5.64,18.21,9.38,10.44,19.86,272.44,273.03,0.04,0.06,0.07,0.06,1.75,-3.7,3.57,1.17,0.56,4.01,102.06,0.55,-1.48,6.89,0.39,0.54,-1.21,1.78,0.81,0.0,0.0,N
14.7,20.82,7.95,11.94,24.19,51.51,31.2,0.06,0.06,0.03,0.04,4.55,-2.29,5.12,0.13,0.51,3.59,1.72,0.55,-0.37,-4.46,0.4,0.37,-1.22,1.13,0.94,0.01,0.61,N
5.98,31.81,12.57,7.08,37.19,64.98,66.89,0.05,0.07,0.04,0.04,1.48,-38.7,10.93,0.7,0.6,30.21,-6.21,0.53,1.09,2.58,0.44,0.46,-0.76,0.72,0.89,0.02,0.74,N
5.33,10.74,12.48,8.54,21.89,48.12,48.05,0.05,0.05,0.06,0.06,1.84,-17.35,3.71,0.82,0.46,8.11,3.31,0.5,1.83,0.57,0.43,0.51,-0.62,0.74,0.45,0.01,0.63,N
5.71,21.43,10.53,10.0,12.55,44.72,47.06,0.03,0.04,0.06,0.05,1.42,-1.68,2.35,1.06,0.62,2.13,7.09,0.51,0.78,4.28,0.42,0.4,-0.38,1.33,0.52,0.01,0.63,N
5.05,23.64,12.3,9.06,25.0,30.5,31.25,0.05,0.03,0.07,0.04,0.93,-3.08,2.78,1.36,0.6,3.68,4.37,0.41,-1.11,1.71,0.41,0.64,-1.39,0.38,0.7,0.02,0.63,N
16.31,17.78,15.04,8.1,28.54,53.56,43.3,0.06,0.04,0.05,0.05,0.74,13.09,26.2,0.79,0.52,-21.53,-5.29,0.46,1.52,3.05,0.46,0.59,-0.81,1.37,0.29,0.02,0.56,N
5.25,13.25,11.43,9.08,18.44,54.49,31.39,0.07,0.04,0.05,0.05,0.52,-20.51,-42.01,0.48,0.53,17.71,-2.8,0.52,1.17,6.81,0.49,0.49,-0.38,1.28,0.8,0.02,0.6,N
